Date,AAPL,MSFT,JPM,GLD,SPY
2023-05-26,173.49404907226562,327.2549743652344,129.1274871826172,180.9199981689453,406.48919677734375
2023-05-30,175.3434295654297,325.6034240722656,129.61785888671875,182.0399932861328,406.6440734863281
2023-05-31,175.29397583007812,322.8311462402344,127.96766662597656,182.32000732421875,404.3891296386719
2023-06-01,178.10263061523438,326.9501647949219,129.73098754882812,183.75999450683594,408.231201171875
2023-06-02,178.95314025878906,329.72247314453125,132.4561004638672,181.0500030517578,414.13470458984375
2023-06-05,177.59825134277344,330.25335693359375,131.15484619140625,182.13999938964844,413.3410949707031
2023-06-06,177.23233032226562,328.0316467285156,131.39056396484375,182.33999633789062,414.24114990234375
2023-06-07,175.85768127441406,317.9059143066406,132.66357421875,180.14999389648438,412.8088073730469
2023-06-08,178.5773468017578,319.754150390625,132.70126342773438,182.52999877929688,415.3056945800781
2023-06-09,178.96302795410156,321.25823974609375,132.9652862548828,182.0399932861328,416.0509033203125
2023-06-12,181.7617950439453,326.2325744628906,132.9558868408203,181.8800048828125,419.8252258300781
2023-06-13,181.28709411621094,328.6313171386719,133.9176788330078,180.5399932861328,422.59320068359375
2023-06-14,181.9200439453125,331.6296691894531,133.4179229736328,180.63999938964844,423.09637451171875
2023-06-15,183.95729064941406,342.2075500488281,134.9266357421875,181.91000366210938,428.341796875
2023-06-16,182.8793182373047,336.5351257324219,135.0869140625,181.6300048828125,426.8827209472656
2023-06-20,182.9683380126953,332.3276062011719,134.39857482910156,179.75,424.6679992675781
2023-06-21,181.929931640625,327.91363525390625,134.2005615234375,179.49000549316406,422.49212646484375
2023-06-22,184.93637084960938,333.95953369140625,131.6168975830078,177.7100067138672,424.0171813964844
2023-06-23,184.619873046875,329.34893798828125,130.92852783203125,178.1999969482422,420.8116455078125
2023-06-26,183.22547912597656,323.03759765625,131.24913024902344,178.50999450683594,419.09228515625
2023-06-27,185.98468017578125,328.9065856933594,131.25856018066406,177.69000244140625,423.6869201660156
2023-06-28,187.1615753173828,330.1648864746094,130.683349609375,177.27999877929688,423.900634765625
2023-06-29,187.49778747558594,329.3784484863281,135.2472381591797,177.08999633789062,425.5713806152344
2023-06-30,191.82945251464844,334.7754821777344,137.14260864257812,178.27000427246094,430.5934143066406
2023-07-03,190.33612060546875,332.2686462402344,138.24581909179688,178.47000122070312,431.0888366699219
2023-07-05,189.2185821533203,332.4259338378906,137.3248748779297,177.83999633789062,430.4477233886719
2023-07-06,189.6932830810547,335.4931335449219,135.9672088623047,177.30999755859375,427.0770263671875
2023-07-07,188.5757293701172,331.51165771484375,137.04002380371094,178.63999938964844,425.998779296875
2023-07-10,186.52862548828125,326.21295166015625,137.80908203125,178.77999877929688,427.0770263671875
2023-07-11,186.00448608398438,326.8420715332031,139.9642791748047,179.4499969482422,429.7969055175781
2023-07-12,187.67579650878906,331.4920349121094,140.65733337402344,181.8800048828125,433.2550048828125
2023-07-13,188.43728637695312,336.8595886230469,141.3409423828125,182.00999450683594,436.6936950683594
2023-07-14,188.58566284179688,339.39593505859375,142.1954345703125,181.42999267578125,436.4217224121094
2023-07-17,191.84925842285156,339.8776550292969,145.6228485107422,181.55999755859375,437.9370422363281
2023-07-18,191.5920867919922,353.4047546386719,145.8887176513672,183.63999938964844,441.19122314453125
2023-07-19,192.94700622558594,349.0693664550781,146.44883728027344,183.6699981689453,442.17230224609375
2023-07-20,190.9987335205078,340.998291015625,148.2527618408203,182.74000549316406,439.2387390136719
2023-07-21,189.82186889648438,337.9507751464844,147.1134796142578,182.17999267578125,439.2387390136719
2023-07-24,190.6229248046875,339.26812744140625,150.00921630859375,181.39999389648438,441.200927734375
2023-07-25,191.4833221435547,345.0387878417969,148.88888549804688,182.41000366210938,442.4054260253906
2023-07-26,192.35362243652344,332.0523986816406,149.78131103515625,183.3000030517578,442.473388671875
2023-07-27,191.08773803710938,325.1217041015625,148.1293487548828,180.4199981689453,439.53985595703125
2023-07-28,193.66896057128906,332.6422424316406,148.9743194580078,181.86000061035156,443.8431091308594
2023-07-31,194.2821044921875,330.2336730957031,149.97125244140625,182.35000610351562,444.68817138671875
2023-08-01,193.45135498046875,330.64654541015625,149.2306671142578,180.4600067138672,443.4156494140625
2023-08-02,190.45480346679688,321.9562072753906,147.54066467285156,179.60000610351562,437.24737548828125
2023-08-03,189.06036376953125,321.1304931640625,148.44264221191406,179.5399932861328,435.9942932128906
2023-08-04,179.981689453125,322.23150634765625,148.1293487548828,180.19000244140625,434.0223693847656
2023-08-07,176.87631225585938,324.52203369140625,148.83189392089844,179.77999877929688,437.810791015625
